Work Item Type,Title 1,Title 2,Title 3,Description,Acceptance Criteria,Story Points,Priority,Tags
User Story,,,US019 - Change team member role,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to change a member’s role, <strong>so that</strong> access can evolve with responsibilities.</p>",<ul><li>Admin can view current role and choose an allowed new role.</li><li>Change is audited.</li><li>Unauthorized role escalation is prevented.</li><li>Affected user permissions update according to session policy.</li></ul>,5,2,HerdCommand;R1;Team;RBAC;Audit
User Story,,,US020 - Deactivate a team member,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to deactivate a member without deleting historical data, <strong>so that</strong> former staff cannot access farm data.</p>",<ul><li>Deactivated user cannot establish a new authorized session for the farm.</li><li>Historical records retain the user reference.</li><li>Action requires confirmation.</li><li>Deactivation is audited.</li></ul>,5,1,HerdCommand;R1;Team;RBAC;Audit;Security
Feature,,F06 - First-Time Onboarding,,<p>Guide a new customer from first login to a usable farm workspace.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US021 - Show first-time onboarding flow,"<p><strong>As a</strong> Farm owner, <strong>I want</strong> a guided first-run experience, <strong>so that</strong> I understand the minimum setup needed to start.</p>","<ul><li>First login opens onboarding until mandatory setup is complete.</li><li>Progress can be resumed after interruption.</li><li>Steps are available in Arabic and English.</li><li>User can access help text without leaving the flow.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Onboarding;Web;Mobile;UI
User Story,,,US022 - Create farm during onboarding,"<p><strong>As a</strong> Farm owner, <strong>I want</strong> to create the initial farm profile, <strong>so that</strong> I can start managing livestock.</p>","<ul><li>Required farm fields are validated.</li><li>Farm is associated with the authenticated owner.</li><li>Default locale and currency settings are stored.</li><li>Successful creation routes to the next onboarding step.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R1;Onboarding;Farm;Backend;UI
User Story,,,US023 - Complete onboarding checklist,"<p><strong>As a</strong> Farm owner, <strong>I want</strong> to see what remains before setup is complete, <strong>so that</strong> I can finish configuration confidently.</p>","<ul><li>Checklist shows completed and pending setup items.</li><li>Completion criteria are deterministic.</li><li>Completed onboarding does not reopen unless explicitly launched from help/settings.</li><li>Completion event is auditable.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",3,3,HerdCommand;R1;Onboarding;UI
Epic,E03 - Farm & Organization Management,,,"<p>Maintain farm identity, locations, operating settings and reference data.</p>",,,1,HerdCommand;R1;Epic
Feature,,F07 - Farm Profile & Settings,,<p>Maintain the business and operational identity of the farm.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US024 - View farm profile,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to view the farm profile and operating settings, <strong>so that</strong> I can confirm the active configuration.</p>","<ul><li>Profile shows name, contact details, locale, timezone and configured currency.</li><li>Sensitive settings respect permissions.</li><li>Data is presented in the selected language.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",3,2,HerdCommand;R1;Farm;Web;Mobile;UI
User Story,,,US025 - Update farm profile,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to update farm information, <strong>so that</strong> records and reports use current details.</p>","<ul><li>Authorized user can edit supported profile fields.</li><li>Validation prevents invalid mandatory values.</li><li>Changes are audited.</li><li>Updated values are reflected in subsequent reports and communications.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Farm;Admin;Audit;UI
User Story,,,US026 - Configure farm timezone and locale,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to configure timezone and locale settings, <strong>so that</strong> dates and times are interpreted correctly.</p>",<ul><li>Timezone is selected from supported IANA zones.</li><li>Stored timestamps remain unambiguous.</li><li>Displayed dates/times respect user/farm context rules.</li><li>Locale change does not corrupt stored data.</li></ul>,5,2,HerdCommand;R1;Farm;Localization;Configuration
Feature,,"F08 - Locations, Pens & Areas",,<p>Model physical areas used to organize animals and operations.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US027 - Create farm location or pen,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to define pens, barns or grazing areas, <strong>so that</strong> animals and tasks can reference real locations.</p>","<ul><li>Location has unique name/code within the farm.</li><li>Type and active status are recorded.</li><li>Inactive locations cannot be newly assigned.</li><li>Creation is auditable.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Farm;Locations;Web;UI
User Story,,,US028 - Edit and deactivate farm location,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to maintain the location list, <strong>so that</strong> obsolete areas stop being used without losing history.</p>",<ul><li>Location can be edited while preserving identity.</li><li>Deactivation requires confirmation when active animals are assigned.</li><li>Historical references remain readable.</li><li>Unauthorized users cannot change locations.</li></ul>,5,2,HerdCommand;R1;Farm;Locations;Audit
User Story,,,US029 - View animals by location,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to view animals assigned to a selected location, <strong>so that</strong> I can perform field work efficiently.</p>","<ul><li>Location view shows current assigned animals.</li><li>User can search and filter the list.</li><li>Counts match the active assignment data.</li><li>Mobile layout supports quick field use.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R1;Farm;Locations;Animals;Mobile;UI
Feature,,F09 - Reference Data,,<p>Manage reusable classifications used across the farm.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US030 - Manage breeds,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to manage supported animal breeds, <strong>so that</strong> animal records use consistent classifications.</p>","<ul><li>Breed can be created, edited and deactivated.</li><li>Duplicate active breed names are prevented within the farm context.</li><li>Existing animals retain historical breed references.</li><li>Breed names support Arabic and English labels where configured.</li></ul>",5,3,HerdCommand;R1;Reference-Data;Animals;Admin
User Story,,,US031 - Manage health and finance categories,"<p><strong>As a</strong> Farm administrator, <strong>I want</strong> to configure supported categories, <strong>so that</strong> records and reports remain consistent.</p>","<ul><li>Categories can be added, edited, ordered and deactivated.</li><li>System-required categories cannot be removed if needed for core behavior.</li><li>Historical records remain valid after deactivation.</li><li>Changes are audited.</li></ul>",5,3,HerdCommand;R1;Reference-Data;Health;Finance;Admin
Epic,E04 - Dashboard & Daily Operations,,,"<p>Give farm users an actionable view of herd status, pending work and key alerts.</p>",,,1,HerdCommand;R1;Epic
Feature,,F10 - Operational Dashboard,,<p>Provide a concise daily operating picture.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US032 - View herd KPI summary,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to see key herd metrics at a glance, <strong>so that</strong> I can quickly understand current status.</p>","<ul><li>Dashboard shows active animal count and configured lifecycle/health KPIs.</li><li>Metrics are scoped to the user’s farm and permissions.</li><li>Data timestamp or refresh behavior is clear.</li><li>Cards are responsive on web and mobile.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R1;Dashboard;Analytics;Web;Mobile;UI
User Story,,,US033 - View attention-required alerts,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to see items requiring action, <strong>so that</strong> I can prioritize work.</p>","<ul><li>Dashboard surfaces overdue tasks, upcoming vaccinations, due health actions and configured operational exceptions.</li><li>Each alert links to the relevant record or action.</li><li>Resolved alerts no longer appear after data refresh.</li><li>Empty state is clear when no action is required.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R1;Dashboard;Alerts;Tasks;Health;UI
User Story,,,US034 - Use dashboard quick actions,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> quick access to common tasks, <strong>so that</strong> I can record field activity with fewer steps.</p>","<ul><li>Quick actions include permitted high-frequency actions such as add animal, record weight, record treatment and scan.</li><li>Actions shown respect role permissions.</li><li>Mobile actions are reachable with one-handed interaction patterns where possible.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Dashboard;Mobile;Productivity;UI
User Story,,,US035 - Filter dashboard by operational context,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to filter dashboard metrics by supported context, <strong>so that</strong> I can focus on relevant animals or groups.</p>","<ul><li>Supported filters are clearly identified.</li><li>Selected filter updates all compatible dashboard widgets consistently.</li><li>A reset action restores default scope.</li><li>Filter state does not leak across unauthorized scopes.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R1;Dashboard;Filters;UI
Feature,,F11 - Activity Timeline,,<p>Provide a readable history of significant farm actions.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US036 - View recent farm activity,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to see recent significant events, <strong>so that</strong> I can understand what changed recently.</p>","<ul><li>Timeline includes key animal, health, breeding, inventory and team events.</li><li>Each entry shows timestamp, actor and target where available.</li><li>Entries are ordered consistently and are permission-filtered.</li><li>User can open the related record.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R2;Activity;Audit;Dashboard;UI
Epic,E05 - Animal Registry & Identification,,,<p>Create a reliable source of truth for each animal and its identifiers.</p>,,,1,HerdCommand;R1;Epic
Feature,,F12 - Animal Registration,,<p>Create complete animal records with validated identifiers.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US037 - Register a new animal,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to create an animal record, <strong>so that</strong> the animal can be tracked throughout its lifecycle.</p>","<ul><li>Required fields include primary identifier and animal type/species configuration.</li><li>Gender, breed, birth date, origin and current location/group can be captured when applicable.</li><li>Duplicate active primary identifiers are prevented within the farm.</li><li>Created animal appears in search and list views.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R1;Animals;Registry;Web;Mobile;UI
User Story,,,US038 - Register animal with unknown birth date,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to record an animal when exact birth date is unavailable, <strong>so that</strong> the registry reflects real field conditions.</p>","<ul><li>User can mark birth date as estimated or unknown according to product rules.</li><li>Age presentation clearly distinguishes estimates.</li><li>Data validation does not force false precision.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",3,3,HerdCommand;R1;Animals;Registry;Data-Quality;UI
User Story,,,US039 - Attach animal photo,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to add a photo to an animal, <strong>so that</strong> the animal is easier to identify visually.</p>","<ul><li>User can upload/capture supported image types.</li><li>File size and type are validated.</li><li>Image is stored securely and linked to the animal.</li><li>User can replace the primary photo without deleting historical events.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R1;Animals;Media;S3;Mobile;UI
Feature,,F13 - Animal List & Search,,<p>Find animals quickly using identifiers and operational filters.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US040 - View animal list,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to view animals I am allowed to access, <strong>so that</strong> I can browse the herd.</p>","<ul><li>List shows key identity and status fields.</li><li>Pagination or incremental loading handles large herds.</li><li>Archived/deceased/sold animals are visually distinct or excluded by default according to filter rules.</li><li>Arabic/English layouts remain readable.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R1;Animals;Search;Web;Mobile;UI
User Story,,,US041 - Search animals by identifier,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to search by tag, QR/RFID or name, <strong>so that</strong> I can find the correct animal quickly.</p>","<ul><li>Search supports configured primary and secondary identifiers.</li><li>Exact identifier matches are prioritized.</li><li>No-result state provides a clear recovery action.</li><li>Search respects farm scope and permissions.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R1;Animals;Search;UI
User Story,,,US042 - Filter and sort animal list,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to filter and sort the animal list, <strong>so that</strong> I can work with targeted subsets.</p>","<ul><li>Filters include supported values such as gender, breed, age/status, group and location.</li><li>Filters can be cleared individually and globally.</li><li>Sort behavior is deterministic.</li><li>Filter/sort works with pagination.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,2,HerdCommand;R1;Animals;Filters;Web;UI
Feature,,F14 - Animal Profile,,<p>Provide a single operational view of an animal.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US043 - View animal profile summary,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to view an animal’s current summary, <strong>so that</strong> I can make informed decisions.</p>","<ul><li>Profile shows identity, lifecycle status, group/location, latest weight and key health/breeding summary according to permissions.</li><li>Primary actions are visible and role-aware.</li><li>Missing optional information uses clear empty states.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R1;Animals;Profile;Web;Mobile;UI
User Story,,,US044 - Edit animal core details,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to correct or update editable animal details, <strong>so that</strong> the registry stays accurate.</p>","<ul><li>Editable fields are clearly separated from immutable/system fields.</li><li>Identifier changes follow uniqueness rules.</li><li>Changes are audited.</li><li>Validation prevents logically inconsistent values where rules are known.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,2,HerdCommand;R1;Animals;Profile;Audit;UI
User Story,,,US045 - View animal event timeline,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to see an animal’s chronological history, <strong>so that</strong> I can understand its lifecycle.</p>","<ul><li>Timeline includes registration, movement, weight, breeding, health and lifecycle events.</li><li>Events link to details where applicable.</li><li>Timeline can be filtered by event category.</li><li>Historical entries are not silently altered by later master-data changes.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,2,HerdCommand;R1;Animals;Timeline;UI
Feature,,F15 - QR & RFID Identification,,<p>Connect physical animal identifiers with digital records.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US046 - Assign QR code to animal,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to associate a QR identifier with an animal, <strong>so that</strong> the animal can be opened by scanning.</p>","<ul><li>QR identifier is unique within the permitted scope.</li><li>Assignment is auditable.</li><li>Existing assignment conflicts are blocked or resolved through an explicit workflow.</li><li>Generated/printed code points to a safe application route, not sensitive data.</li></ul>",5,2,HerdCommand;R2;Animals;QR;Identification;Security
User Story,,,US047 - Scan QR code on mobile,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to scan an animal QR code, <strong>so that</strong> I can open the correct animal quickly.</p>","<ul><li>Camera permission is requested only when needed.</li><li>Valid code opens the matching animal profile.</li><li>Invalid, unknown and unauthorized codes have distinct safe messages.</li><li>Scanner can be cancelled without losing navigation state.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R2;Animals;QR;Mobile;UI
User Story,,,US048 - Assign and scan RFID identifier,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to store and use RFID identifiers, <strong>so that</strong> RFID-enabled workflows can identify animals.</p>",<ul><li>RFID value follows configured format/uniqueness rules.</li><li>Manual entry is supported where direct device integration is unavailable.</li><li>Unknown RFID produces a clear no-match result.</li><li>Identifier changes are audited.</li></ul>,8,3,HerdCommand;R2;Animals;RFID;Identification;Mobile
Feature,,F16 - Animal Lifecycle Status,,<p>Track major lifecycle transitions without deleting history.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US049 - Record animal sale or transfer out,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to mark an animal as sold or transferred out, <strong>so that</strong> active herd counts remain accurate.</p>",<ul><li>User records effective date and optional destination/reference.</li><li>Animal is removed from active operational lists by default.</li><li>Historical records remain accessible.</li><li>Transition is audited.</li></ul>,5,2,HerdCommand;R2;Animals;Lifecycle;Audit
User Story,,,US050 - Record animal death,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to record an animal death, <strong>so that</strong> herd records remain accurate.</p>","<ul><li>User records date and optional cause/notes.</li><li>Animal becomes inactive for future operational actions.</li><li>Existing historical health, weight and breeding data remains accessible.</li><li>Transition requires confirmation and is audited.</li></ul>",5,1,HerdCommand;R2;Animals;Lifecycle;Audit
Epic,"E06 - Groups, Flocks & Movement",,,<p>Organize animals into operational groups and maintain movement history.</p>,,,1,HerdCommand;R1;Epic
Feature,,F17 - Flock & Group Management,,<p>Create and manage operational animal groups.</p>,,,2,HerdCommand;R1;Feature
User Story,,,US051 - Create a flock or group,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to create an operational animal group, <strong>so that</strong> I can manage animals collectively.</p>","<ul><li>Group has name, type/status and optional location/purpose.</li><li>Active name/code uniqueness is enforced where configured.</li><li>Creation is auditable.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Flocks;Groups;Web;UI
User Story,,,US052 - Add animals to a group,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to assign selected animals to a group, <strong>so that</strong> I can organize field operations.</p>","<ul><li>User can select one or multiple eligible animals.</li><li>Rules prevent invalid assignment when exclusivity applies.</li><li>Group counts update after assignment.</li><li>Assignment is captured in animal history.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R1;Flocks;Animals;Bulk-Actions;UI
User Story,,,US053 - Remove animals from a group,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to remove animals from a group, <strong>so that</strong> group membership stays current.</p>",<ul><li>User can remove one or multiple eligible animals.</li><li>Removal effective time is recorded.</li><li>Historical membership remains available.</li><li>Counts refresh consistently.</li></ul>,5,2,HerdCommand;R1;Flocks;Animals;Bulk-Actions
